,suicideRate
0,7.831615425158257
1,7.659985249793513
2,8.449140932034933
3,7.6867402444084885
4,2.9951867349169885
5,1.1820924810052515
6,1.4553583383300637
7,1.4328330835427658
8,1.6678956424031743
9,1.6312297115804621
10,1.5809908319173758
11,0.41169476620677614
12,19.71370374661241
13,20.16392654227481
14,19.401229785158673
15,18.002785254132352
16,12.703268968199357
17,12.73978785330678
18,11.45239012501643
19,10.700491877846435
20,14.525658017902174
21,14.225857491704994
22,13.880461834068596
23,13.889030445607165
24,4.827965609638652
25,3.7461601858095452
26,4.420947924917567
27,5.5349464217186375
28,15.102652285161001
29,16.050363010757376
30,16.708442812432008
31,15.870332240423961
32,10.79001913647266
33,11.23156278901252
34,12.541411798679414
35,11.510089820212396
36,6.826201686565818
37,6.758172916909148
38,7.064344379260909
39,4.809808708357889
40,7.175674356028187
41,8.682754527787948
42,9.112228664259401
43,8.555393521587344
44,17.574759996324186
45,17.53823003029945
46,16.336774105339444
47,16.024017598777927
48,2.670608994229577
49,2.355684576214724
50,2.4756599776238426
51,3.7446930305776847
52,15.613332428212614
53,9.13782891953634
54,12.447937343139168
55,16.308544345927523
56,1.188439591006133
57,1.2298654527194726
58,1.6015109111510344
59,1.1471451474361305
60,11.297567466353124
61,11.249330153522676
62,10.178746776730188
63,7.8020008231110864
64,4.611510758410281
65,4.318888749924644
66,3.9761501677051783
67,3.7600650433405343
68,8.217495853181507
69,7.423823798707334
70,7.141474921904516
71,6.941914038364877
72,28.56830766386865
73,26.374758317913447
74,27.312080564477046
75,26.6066020931881
76,13.523055801962242
77,13.753584710908694
78,13.665822712149719
79,13.942919691646669
80,6.292479254226268
81,6.426953631280244
82,6.59962103104629
83,6.518395575508586
84,3.911069314914687
85,2.8101454898786127
86,2.9423943158059025
87,2.127186816496439
88,7.170799559047194
89,7.460702832512809
90,7.442810193434349
91,8.027718527220514
