,gdp_per_capita ($), gdp_for_year ($) ,age,sex,generation,population-1,suicides_no-1,country,year,suicideRate
0,-0.6300906185620588,-0.17040467936606069,0.22808577638091168,0.9622504486493763,0.12643492558832692,0.18911347656298227,-0.11122131444197135,Argentina,2010,7.831615425158257
52,-0.5693529238846422,-0.14844411496409782,0.22808577638091168,0.9622504486493763,0.19999999999999984,0.1912705915916352,-0.0977853113753172,Argentina,2011,7.659985249793513
104,-0.5551236497704972,-0.14055392451266358,0.22808577638091168,0.8563488385776753,0.19999999999999984,0.19488047791511437,-0.09854240254582769,Argentina,2012,8.449140932034933
156,-0.5771804782768172,-0.13963590109923354,0.2474358296526968,0.9258200997725515,0.2474358296526968,0.1980032940955505,-0.05067468979140312,Argentina,2013,7.6867402444084885
1,1.1514718406848143,0.15311494554407065,0.22808577638091168,0.9622504486493763,0.12643492558832692,-0.13559012627944853,-0.17692116217389178,Australia,2010,11.608080317554867
53,1.3476458506816613,0.22162165741382414,0.22808577638091168,0.9622504486493763,0.19999999999999984,-0.1326345012249002,-0.16247127479629223,Australia,2011,11.45489086007937
105,1.6035164299252174,0.2738763876752396,0.22808577638091168,0.8563488385776753,0.19999999999999984,-0.13448321621473147,-0.16352597890030973,Australia,2012,12.147516616790439
157,1.5363417397080696,0.27911982851267036,0.2474358296526968,0.9258200997725515,0.2474358296526968,-0.13036327252200136,-0.1362351828937304,Australia,2013,12.073973457628593
2,0.9183908255873076,-0.1846515824882053,0.22808577638091168,-1.0392304845413265,0.12643492558832692,-0.38128353656901004,-0.3041170282581765,Austria,2010,15.862615692619654
54,0.8814243745183019,-0.1908601215901789,0.22808577638091168,-1.0392304845413265,0.19999999999999984,-0.38197032637926,-0.3054482799868221,Austria,2011,16.109774605742032
106,0.8026936726201161,-0.19729324070021545,0.22808577638091168,-1.1677484162422842,0.19999999999999984,-0.3822055552447001,-0.30149111023751773,Austria,2012,15.88788630847701
158,0.8290595475104675,-0.18962257352493161,0.2474358296526968,-1.0801234497346432,0.2474358296526968,-0.38246919167738624,-0.30325746284198607,Austria,2013,15.978484123315281
3,0.1446402844066254,-0.35605477429262167,0.22808577638091168,0.9622504486493763,0.12643492558832692,-0.5300591733571233,-0.4568961988523315,Bahamas,2010,2.9951867349169885
