,suicideRate
0,2.9951867349169885
1,1.1820924810052515
2,1.4553583383300637
3,1.4328330835427658
4,1.6678956424031743
5,1.6312297115804621
6,1.5809908319173758
7,0.41169476620677614
8,1.1453572942079282
9,0.0
10,0.0
11,0.0
12,19.71370374661241
13,20.16392654227481
14,19.401229785158673
15,18.002785254132352
16,5.2854867580938425
17,11.314466745753647
18,6.021154322185278
19,5.557589706036196
20,5.191331250913397
21,5.348029149710029
22,5.547137562518786
23,5.608164078589364
24,11.992617350343584
25,10.812684483457655
26,12.529362100288923
27,10.418105598265132
28,12.703268968199357
29,12.73978785330678
30,11.45239012501643
31,10.700491877846435
32,5.017968590565033
33,4.805080973489658
34,4.9215131300117445
35,4.748968557556833
36,7.431900728923691
37,7.460723775201782
38,7.039282459366791
39,7.153982456410739
40,4.827965609638652
41,3.7461601858095452
42,4.420947924917567
43,5.5349464217186375
44,15.102652285161001
45,16.050363010757376
46,16.708442812432008
47,15.870332240423961
48,10.79001913647266
49,11.23156278901252
50,12.541411798679414
51,11.510089820212396
52,6.826201686565818
53,6.758172916909148
54,7.064344379260909
55,4.809808708357889
56,7.175674356028187
57,8.682754527787948
58,9.112228664259401
59,8.555393521587344
60,17.7799039247344
61,17.447998162357624
62,18.935293229394286
63,17.536859582847985
64,18.840745145545743
65,17.93162976296627
66,17.08264438552378
67,17.27215601878167
68,17.574759996324186
69,17.53823003029945
70,16.336774105339444
71,16.024017598777927
72,2.670608994229577
73,2.355684576214724
74,2.4756599776238426
75,3.7446930305776847
76,12.801684032816881
77,12.955024005010008
78,12.605066367979921
79,13.059235116807358
80,3.511751419418253
81,4.446008677266747
82,4.819824888551037
83,5.109627391207357
84,0.0
85,1.0515025972114151
86,2.0958648586339153
87,0.0
88,2.7755543992497804
89,2.7578594769961486
90,3.1495059212586027
91,3.335317908575344
92,30.513898708741117
93,28.432523845558084
94,30.322835155647407
95,30.707725332557352
96,26.161432540764903
97,25.48706894599701
98,24.84877841649282
99,22.17548739431663
100,15.613332428212614
101,9.13782891953634
102,12.447937343139168
103,16.308544345927523
104,11.395458276795681
105,13.131543698293065
106,12.841149297077383
107,11.520143218798982
108,7.007478293241069
109,5.866747376280124
110,6.060298561313309
111,5.148070691313931
112,6.920800280468511
113,7.336140380058
114,7.495366896624946
115,7.4604373788363665
116,24.28107289830951
117,23.787905099770935
118,21.814718184453554
119,21.566788920789286
120,24.529049388211252
121,22.897191542648628
122,21.566142593870463
123,23.081904877577177
124,22.03323497187493
125,22.52239570723138
126,22.98706563376738
127,20.026520760652225
128,11.297567466353124
129,11.249330153522676
130,10.178746776730188
131,7.8020008231110864
132,4.588392438197031
133,5.1627837417827855
134,4.920051899644291
135,5.143344127241236
136,4.029123152588314
137,5.3114705126941475
138,4.828557246409002
139,5.582240663011192
140,10.917260476894548
141,10.106515920246968
142,10.7284626113078
143,10.535725624066481
144,2.7817366559500756
145,2.696753809569269
146,2.146620146579211
147,1.7327378334876407
148,13.593040009683198
149,12.497720127060811
150,13.102894642118722
151,12.666191136349942
152,24.732700024654847
153,23.034471541592435
154,22.011825450939455
155,21.296975884355625
156,2.476734178312477
157,4.911229526311912
158,6.09979260705136
159,8.495661144486922
160,4.997501249375312
161,4.998150684246829
162,9.98332784250302
163,0.0
164,17.379732467312927
165,18.202827322269897
166,18.100604411654633
167,17.51833790927345
168,7.15264946057102
169,6.194481955474064
170,3.6934896089825666
171,10.903672114464326
172,8.275553567434578
173,8.553417201255241
174,10.794140323824209
175,9.750219584777204
176,7.243890840116089
177,7.2864634853890715
178,7.985313881839783
179,8.756970332456241
180,28.56830766386865
181,26.374758317913447
182,27.312080564477046
183,26.6066020931881
184,12.931926046610469
185,12.515977004818652
186,12.89542669391319
187,13.63019680341965
188,2.2754714731353043
189,1.687382743986248
190,2.102167089257826
191,2.5901415035802913
192,3.911069314914687
193,2.8101454898786127
194,2.9423943158059025
195,2.127186816496439
196,7.170799559047194
197,7.460702832512809
198,7.442810193434349
199,8.027718527220514
200,13.32758248253437
201,13.608721527471177
202,13.863469644110296
203,13.931532330876571
204,5.707205616077448
205,6.313022198087316
206,6.95554478214741
207,7.265566980255989
